state,year,quarter_num,quarter,gdp_billions
Missouri,2019,1,2019:Q1,327.0378
Missouri,2019,2,2019:Q2,331.8969
Missouri,2019,3,2019:Q3,338.0373
Missouri,2019,4,2019:Q4,342.0286
Missouri,2020,1,2020:Q1,339.6562
Missouri,2020,2,2020:Q2,313.8216
Missouri,2020,3,2020:Q3,341.3757
Missouri,2020,4,2020:Q4,349.0295
Missouri,2021,1,2021:Q1,354.19620000000003
Missouri,2021,2,2021:Q2,364.71790000000004
Missouri,2021,3,2021:Q3,369.27209999999997
Missouri,2021,4,2021:Q4,376.586
Oklahoma,2019,1,2019:Q1,205.3082
Oklahoma,2019,2,2019:Q2,205.67229999999998
Oklahoma,2019,3,2019:Q3,207.0372
Oklahoma,2019,4,2019:Q4,205.9532
Oklahoma,2020,1,2020:Q1,198.49020000000002
Oklahoma,2020,2,2020:Q2,178.8999
Oklahoma,2020,3,2020:Q3,194.27620000000002
Oklahoma,2020,4,2020:Q4,197.2217
Oklahoma,2021,1,2021:Q1,205.6995
Oklahoma,2021,2,2021:Q2,216.03470000000002
Oklahoma,2021,3,2021:Q3,221.4541
Oklahoma,2021,4,2021:Q4,233.3413
Tennessee,2019,1,2019:Q1,378.66909999999996
Tennessee,2019,2,2019:Q2,382.2114
Tennessee,2019,3,2019:Q3,389.0926
Tennessee,2019,4,2019:Q4,393.3588
Tennessee,2020,1,2020:Q1,399.9375
Tennessee,2020,2,2020:Q2,356.8513
Tennessee,2020,3,2020:Q3,399.8426
Tennessee,2020,4,2020:Q4,409.723
Tennessee,2021,1,2021:Q1,425.9478
Tennessee,2021,2,2021:Q2,437.1177
Tennessee,2021,3,2021:Q3,446.6752
Tennessee,2021,4,2021:Q4,463.9379
Texas,2019,1,2019:Q1,1833.669
Texas,2019,2,2019:Q2,1854.3879
Texas,2019,3,2019:Q3,1878.8868
Texas,2019,4,2019:Q4,1892.5453
Texas,2020,1,2020:Q1,1841.2535
Texas,2020,2,2020:Q2,1682.7725
Texas,2020,3,2020:Q3,1831.7014
Texas,2020,4,2020:Q4,1886.9532
Texas,2021,1,2021:Q1,1976.0162
Texas,2021,2,2021:Q2,2071.3301
Texas,2021,3,2021:Q3,2152.1865
Texas,2021,4,2021:Q4,2268.5221
