SQGDP2 Gross domestic product (GDP) by state 1
SQGDP2 Gross domestic product (GDP) by state 1
State or DC
GeoFIPS,GeoName,LineCode,Description,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4
29000,Missouri,1,All industry total,327037.8,331896.9,338037.3,342028.6,339656.2,313821.6,341375.7,349029.5,354196.2,364717.9,369272.1,376586.0
29000,Missouri,2,"  Private industries",288686.4,293344.1,299156.3,302916.5,299824.7,274907.8,301685.3,309220.5,313369.0,324131.9,328554.4,336036.8
29000,Missouri,3,"      Agriculture, forestry, fishing and hunting",2543.3,3017.0,3279.5,3559.4,4397.5,1805.7,2737.0,4234.5,3363.9,5890.9,6045.3,4064.1
29000,Missouri,6,"      Mining, quarrying, and oil and gas extraction",824.9,848.5,881.1,1204.6,1098.7,854.7,1171.9,1195.2,1134.1,1254.9,1343.1,1307.4
29000,Missouri,10,"      Utilities",5461.3,5357.7,5328.5,5497.2,5130.4,5472.7,5719.3,5898.5,6238.8,5902.9,6237.3,6242.2
29000,Missouri,11,"      Construction",14208.7,14711.6,15247.9,15247.4,15252.0,15467.7,15716.7,16147.4,16119.4,16813.4,16708.8,17437.9
29000,Missouri,12,"      Manufacturing",36402.9,37832.2,38697.9,39568.9,38244.7,35991.0,40236.7,40698.9,39771.5,41054.5,40845.0,42478.9
29000,Missouri,13,"          Durable goods manufacturing",18697.1,19311.9,19403.4,20052.1,19038.5,17971.2,20854.4,21314.0,20212.1,21088.1,20734.3,21339.3
29000,Missouri,25,"          Nondurable goods manufacturing",17705.8,18520.3,19294.4,19516.8,19206.2,18019.8,19382.3,19384.9,19559.4,19966.3,20110.8,21139.6
29000,Missouri,34,"      Wholesale trade",22530.7,22177.1,22586.5,23705.9,23840.5,22151.2,25003.3,24593.4,25662.1,25513.3,25988.9,26657.8
29000,Missouri,35,"      Retail trade",20692.9,21007.3,21333.7,21124.0,21366.4,21049.7,24012.9,23291.1,24783.8,25762.4,25284.3,26069.3
29000,Missouri,36,"      Transportation and warehousing",11697.6,11814.6,12031.3,12086.0,11957.4,9895.8,11108.8,11319.2,12438.5,13255.8,13853.1,14877.9
29000,Missouri,45,"      Information",11789.1,11986.2,12566.2,12420.6,10885.3,10225.4,10985.4,12549.7,11695.7,12740.3,11980.9,12116.4
29000,Missouri,51,"      Finance and insurance",24616.0,24725.2,25153.5,25638.7,25834.2,25894.0,26406.3,28546.8,27488.5,27453.8,27424.7,28627.6
29000,Missouri,56,"      Real estate and rental and leasing",37965.8,38666.7,39491.1,39716.9,40009.9,38884.1,40045.6,40478.2,41100.8,42337.6,43680.9,45305.5
29000,Missouri,60,"      Professional, scientific, and technical services",23562.5,23874.9,24097.7,24189.5,24592.5,22485.1,24106.4,24456.7,26332.0,26659.0,27868.0,27975.4
29000,Missouri,64,"      Management of companies and enterprises",9945.8,9690.1,9728.6,9431.3,9767.9,8976.3,8850.9,9182.4,9555.5,9335.7,9167.9,9125.5
29000,Missouri,65,"      Administrative and support and waste management and remediation services",9976.6,10119.2,10293.0,10318.2,10355.0,9010.0,10082.5,10403.1,10934.7,10803.3,11138.6,11617.4
29000,Missouri,69,"      Educational services",4455.2,4529.7,4488.0,4498.6,4434.7,4007.2,4288.8,4094.4,4308.5,4495.1,4626.7,4720.5
29000,Missouri,70,"      Health care and social assistance",30208.5,30712.7,31275.8,31513.8,30799.4,27828.0,31282.1,32585.3,31755.1,32239.8,32463.0,33183.0
29000,Missouri,76,"      Arts, entertainment, and recreation",3591.9,3739.3,3759.7,4101.4,3989.7,1386.7,2727.0,2945.3,3684.1,3612.6,3893.5,3977.1
29000,Missouri,79,"      Accommodation and food services",10274.1,10466.8,10658.0,10595.8,9523.1,6452.1,8883.0,8307.4,8964.5,10557.8,11374.3,11429.1
29000,Missouri,82,"      Other services (except government and government enterprises)",7938.5,8067.4,8258.4,8498.3,8345.4,7070.3,8320.8,8293.1,8037.4,8448.8,8630.2,8823.9
29000,Missouri,83,"  Government and government enterprises",38351.5,38552.8,38881.0,39112.1,39831.6,38913.8,39690.3,39809.0,40827.2,40586.0,40717.8,40549.1
29000,Missouri,84,"    Federal civilian",7890.5,7997.5,8068.3,8162.9,8338.3,8501.8,8807.8,8821.0,8845.4,8912.4,9041.3,9103.1
29000,Missouri,85,"    Military",2755.8,2833.2,2845.7,2849.3,2897.8,2984.3,3055.3,2995.7,3035.2,3038.8,3102.5,3038.5
29000,Missouri,86,"    State and local",27705.2,27722.2,27966.9,28099.9,28595.4,27427.7,27827.2,27992.4,28946.6,28634.8,28574.0,28407.6

Legend/Footnotes
"1. For levels: millions of dollars, seasonally adjusted at annual rates; for annualized percent change and compound growth rate: seasonally adjusted at annual rates. Industry detail is based on the 2017 North American Industry Classification System (NAICS). Calculations are performed on unrounded data."
"  Last updated: January 23, 2026-- new statistics for 2025:Q3."
