SQGDP2 Gross domestic product (GDP) by state 1
SQGDP2 Gross domestic product (GDP) by state 1
State or DC
GeoFIPS,GeoName,LineCode,Description,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4
47000,Tennessee,1,All industry total,378669.1,382211.4,389092.6,393358.8,399937.5,356851.3,399842.6,409723.0,425947.8,437117.7,446675.2,463937.9
47000,Tennessee,2,"  Private industries",338803.7,342178.3,348210.8,351498.5,356539.3,313957.5,356338.9,366041.6,382750.1,392875.6,402132.9,418409.4
47000,Tennessee,3,"      Agriculture, forestry, fishing and hunting",1353.3,1146.9,1340.4,1926.2,1469.7,643.5,1170.4,1615.5,2837.3,2471.6,1923.5,1606.9
47000,Tennessee,6,"      Mining, quarrying, and oil and gas extraction",811.1,876.6,898.9,1029.0,1015.1,707.9,966.7,1044.7,1183.6,1062.6,1168.2,1213.1
47000,Tennessee,10,"      Utilities",2447.5,2380.4,2366.2,2358.9,2320.2,2309.1,2569.1,3029.2,4663.0,5237.3,5935.6,6591.5
47000,Tennessee,11,"      Construction",14043.0,14240.3,14422.1,14343.4,14484.5,14458.7,14554.0,15402.1,15633.5,15835.9,16192.4,17605.4
47000,Tennessee,12,"      Manufacturing",54128.3,54620.5,55537.9,56836.9,58301.7,49358.7,58632.6,59762.0,59186.6,59021.8,59067.7,61398.0
47000,Tennessee,13,"          Durable goods manufacturing",30675.0,30752.3,30870.0,31393.2,32763.8,25065.0,32110.3,33112.9,31826.3,30887.8,30504.4,31357.2
47000,Tennessee,25,"          Nondurable goods manufacturing",23453.3,23868.2,24667.9,25443.6,25537.9,24293.7,26522.4,26649.1,27360.2,28134.0,28563.3,30040.8
47000,Tennessee,34,"      Wholesale trade",25732.5,25953.7,26588.9,26240.5,26475.6,24091.1,26823.5,26929.1,28289.3,29420.8,30462.6,32126.5
47000,Tennessee,35,"      Retail trade",28028.7,28298.1,28705.4,28626.1,29231.3,28127.7,32322.3,31796.9,34364.5,35845.5,35338.0,37422.7
47000,Tennessee,36,"      Transportation and warehousing",17455.1,17826.5,17948.6,18960.9,19277.3,16858.5,18914.9,20097.3,21421.2,22384.4,23896.3,24652.5
47000,Tennessee,45,"      Information",11591.3,11969.3,12587.4,12303.0,12503.2,11926.1,12487.1,12923.2,13703.7,14739.2,15285.8,15366.9
47000,Tennessee,51,"      Finance and insurance",22081.3,22078.2,22332.8,23368.8,23705.0,24295.1,24744.1,25969.7,26525.9,27343.5,28838.6,28308.6
47000,Tennessee,56,"      Real estate and rental and leasing",44460.7,44653.7,44960.2,45204.8,45915.5,44671.7,47200.2,47703.0,48964.2,50065.4,51407.8,52997.5
47000,Tennessee,60,"      Professional, scientific, and technical services",22246.4,22490.4,23507.1,23313.7,23147.5,21428.7,22995.5,24536.6,25619.8,26206.2,26802.1,28229.7
47000,Tennessee,64,"      Management of companies and enterprises",6987.0,6969.3,7860.9,7058.8,6839.8,6863.0,6842.8,7217.5,7849.6,8117.4,7663.5,8217.7
47000,Tennessee,65,"      Administrative and support and waste management and remediation services",14915.4,15304.7,14839.3,15094.0,15406.5,13557.8,15066.4,15830.7,16482.0,16627.2,17457.9,17670.4
47000,Tennessee,69,"      Educational services",4273.7,4326.3,4398.9,4388.2,4384.2,3951.8,4035.3,4113.6,4112.9,4342.6,4571.2,4663.1
47000,Tennessee,70,"      Health care and social assistance",36026.1,36388.9,36688.0,36698.6,38715.0,30823.0,39385.0,39341.1,40315.7,39740.6,40259.3,42362.6
47000,Tennessee,76,"      Arts, entertainment, and recreation",7362.8,7518.8,7789.6,8047.7,8752.7,3328.2,4907.1,5540.4,7047.4,7533.4,8106.4,8922.3
47000,Tennessee,79,"      Accommodation and food services",14986.8,15121.1,15328.9,15218.6,14064.9,7919.6,12794.5,12969.5,14177.4,16013.7,16613.2,17480.1
47000,Tennessee,82,"      Other services (except government and government enterprises)",9872.5,10014.5,10109.3,10480.4,10529.6,8637.3,9927.4,10219.5,10372.5,10866.4,11142.7,11574.1
47000,Tennessee,83,"  Government and government enterprises",39865.4,40033.1,40881.8,41860.3,43398.2,42893.8,43503.7,43681.4,43197.8,44242.2,44542.3,45528.5
47000,Tennessee,84,"    Federal civilian",10152.2,10227.6,10257.3,10181.7,10221.5,10240.9,10509.7,10335.0,10343.9,10463.5,10786.1,11232.9
47000,Tennessee,85,"    Military",1401.9,1428.5,1457.1,1495.8,1474.8,1545.1,1566.6,1618.1,1651.1,1691.4,1743.2,1716.5
47000,Tennessee,86,"    State and local",28311.3,28377.1,29167.5,30182.8,31701.9,31107.8,31427.4,31728.3,31202.8,32087.2,32013.0,32579.1

Legend/Footnotes
"1. For levels: millions of dollars, seasonally adjusted at annual rates; for annualized percent change and compound growth rate: seasonally adjusted at annual rates. Industry detail is based on the 2017 North American Industry Classification System (NAICS). Calculations are performed on unrounded data."
"  Last updated: January 23, 2026-- new statistics for 2025:Q3."
